,S0,K,V0,T,r,n,m,closed_solution,mc_price,ST
73,3,2.5,0.01,1,0.05,250,62500,0.569402458079951,2.4756037654218574,"[-2.10112855e-10 -6.92873984e-05  5.42969779e-06 ...  2.80259724e-02
  1.73303830e-07  2.68607820e-04]"
74,3,2.5,0.01,1,0,400,160000,0.44770214059390234,0.036081363996774,"[-1.67790963e-08  8.48686076e-12 -4.78639122e-12 ...  4.41897055e-08
 -3.52154478e-12  1.60661610e-06]"
75,3,2.5,0.01,1,0.05,400,160000,0.569402458079951,0.03432165510985211,"[-1.67790963e-08  8.48686076e-12 -4.78639122e-12 ...  4.41897055e-08
 -3.52154478e-12  1.60661610e-06]"
76,3,2.5,0.01,2,0,250,62500,0.7287717482796521,1.1337351796597501,"[ 2.05001646e-09 -4.79829098e-06 -1.65000925e-09 ...  1.34166768e-13
  2.04064365e-12 -4.70079823e-08]"
77,3,2.5,0.01,2,0.05,250,62500,0.9565245320533442,1.025846012699863,"[ 2.05001646e-09 -4.79829098e-06 -1.65000925e-09 ...  1.34166768e-13
  2.04064365e-12 -4.70079823e-08]"
78,3,2.5,0.01,2,0,400,160000,0.7287717482796521,0.00016034113496304995,"[ 7.01155658e-23 -1.50077989e-13 -1.81622512e-16 ... -1.69031246e-12
  7.48467171e-17 -3.19985473e-17]"
79,3,2.5,0.01,2,0.05,400,160000,0.9565245320533442,0.00014508265856492142,"[ 7.01155658e-23 -1.50077989e-13 -1.81622512e-16 ... -1.69031246e-12
  7.48467171e-17 -3.19985473e-17]"
80,3,2.5,0.01,5,0,250,62500,0.5320786226746925,5.536814248150722,"[-4.24521120e-11 -2.40089895e-13 -3.79197071e-17 ... -2.16971454e-06
  2.34651511e-16  1.92943012e-10]"
81,3,2.5,0.01,5,0.05,250,62500,1.1635713641867846,4.312075272180694,"[-4.24521120e-11 -2.40089895e-13 -3.79197071e-17 ... -2.16971454e-06
  2.34651511e-16  1.92943012e-10]"
82,3,2.5,0.01,5,0,400,160000,0.5320786226746925,2.548391153082947e-05,"[-9.31506368e-21  1.29935908e-17 -2.34063486e-14 ...  1.99185608e-23
 -2.81183220e-19 -9.93985282e-18]"
83,3,2.5,0.01,5,0.05,400,160000,1.1635713641867846,1.9846890255932398e-05,"[-9.31506368e-21  1.29935908e-17 -2.34063486e-14 ...  1.99185608e-23
 -2.81183220e-19 -9.93985282e-18]"
84,3,2.5,0.07,1,0,250,62500,0.507904644670695,3.1362351454039943,"[-1.58252335e-10  2.48378004e-05 -1.09403570e-10 ... -1.88906624e-06
 -3.09949799e-06  1.80715184e-07]"
85,3,2.5,0.07,1,0.05,250,62500,0.627035806214622,2.9832791524615545,"[-1.58252335e-10  2.48378004e-05 -1.09403570e-10 ... -1.88906624e-06
 -3.09949799e-06  1.80715184e-07]"
86,3,2.5,0.07,1,0,400,160000,0.507904644670695,0.054742428952755884,"[1.09477565e-09 2.79583743e-15 7.16705356e-11 ... 7.81833477e-11
 2.29804818e-13 1.86756119e-16]"
87,3,2.5,0.07,1,0.05,400,160000,0.627035806214622,0.05207260918850121,"[1.09477565e-09 2.79583743e-15 7.16705356e-11 ... 7.81833477e-11
 2.29804818e-13 1.86756119e-16]"
88,3,2.5,0.07,2,0,250,62500,0.7278807455769618,1.6232609095751065,"[-3.98002920e-09  4.97937323e-13  8.33792071e-16 ...  2.93156989e-07
 -1.85920786e-10  3.01590436e-08]"
89,3,2.5,0.07,2,0.05,250,62500,0.9429583622005269,1.4687872102186426,"[-3.98002920e-09  4.97937323e-13  8.33792071e-16 ...  2.93156989e-07
 -1.85920786e-10  3.01590436e-08]"
90,3,2.5,0.07,2,0,400,160000,0.7278807455769618,0.0,"[-7.48438525e-16 -2.02608810e-07  7.58075841e-13 ... -8.10012975e-17
  1.08876527e-21 -7.09432494e-23]"
91,3,2.5,0.07,2,0.05,400,160000,0.9429583622005269,0.0,"[-7.48438525e-16 -2.02608810e-07  7.58075841e-13 ... -8.10012975e-17
  1.08876527e-21 -7.09432494e-23]"
92,3,2.5,0.07,5,0,250,62500,0.5514217089885447,0.3187666711408887,"[-1.83390831e-15 -2.96272494e-19  8.31578152e-10 ... -5.08149007e-16
  7.28666357e-11 -3.07510967e-08]"
93,3,2.5,0.07,5,0.05,250,62500,1.1662397192052316,0.2482557331015891,"[-1.83390831e-15 -2.96272494e-19  8.31578152e-10 ... -5.08149007e-16
  7.28666357e-11 -3.07510967e-08]"
94,3,2.5,0.07,5,0,400,160000,0.5514217089885447,6.066593384535661e-05,"[-5.97518602e-21  9.37960918e-06 -3.62110070e-21 ...  2.28821802e-25
 -1.79190591e-12  4.17779902e-24]"
95,3,2.5,0.07,5,0.05,400,160000,1.1662397192052316,4.724667678452177e-05,"[-5.97518602e-21  9.37960918e-06 -3.62110070e-21 ...  2.28821802e-25
 -1.79190591e-12  4.17779902e-24]"
