,S0,K,V0,T,r,n,m,closed_solution,mc_price,ST_std
56,3.0,1.5,0.01,5.0,0.0,250.0,62500.0,1.6944422460035993,1.507580825749047,0.9430656033125692
57,3.0,1.5,0.01,5.0,0.0,400.0,160000.0,1.6944422460035993,1.5052108796942678,0.9331589982025957
58,3.0,1.5,0.01,5.0,0.05,250.0,62500.0,2.1177355992049307,1.8332958086588675,1.2067499303721418
59,3.0,1.5,0.01,5.0,0.05,400.0,160000.0,2.1177355992049307,1.8291097607273945,1.2019440349260844
60,3.0,1.5,0.07,1.0,0.0,250.0,62500.0,1.5039088991263587,1.4995433257264208,0.4820806305522563
61,3.0,1.5,0.07,1.0,0.0,400.0,160000.0,1.5039088991263587,1.5017563583886935,0.4820622521133072
62,3.0,1.5,0.07,1.0,0.05,250.0,62500.0,1.577974984496542,1.5707559442796608,0.5049379582732552
63,3.0,1.5,0.07,1.0,0.05,400.0,160000.0,1.577974984496542,1.57464386085142,0.5061281910791471
64,3.0,1.5,0.07,2.0,0.0,250.0,62500.0,1.3968287282510052,1.4991453525962233,0.6369730793345543
65,3.0,1.5,0.07,2.0,0.0,400.0,160000.0,1.3968287282510052,1.5022703204385166,0.633539393155118
66,3.0,1.5,0.07,2.0,0.05,250.0,62500.0,1.5108975872550487,1.6456674936037754,0.7052423746822687
67,3.0,1.5,0.07,2.0,0.05,400.0,160000.0,1.5108975872550487,1.6414352982968536,0.700141736862445
68,3.0,1.5,0.07,5.0,0.0,250.0,62500.0,1.6968809389172517,1.5133770057613296,0.9897100104116942
69,3.0,1.5,0.07,5.0,0.0,400.0,160000.0,1.6968809389172517,1.509726459946052,0.978582632828191
70,3.0,1.5,0.07,5.0,0.05,250.0,62500.0,2.1177102444056883,1.833908403256348,1.2725701842063821
71,3.0,1.5,0.07,5.0,0.05,400.0,160000.0,2.1177102444056883,1.8332426049130668,1.2512085969825546
72,3.0,2.5,0.01,1.0,0.0,250.0,62500.0,0.4477021405939019,0.5220869197697642,0.39030327265731585
73,3.0,2.5,0.01,1.0,0.0,400.0,160000.0,0.4477021405939019,0.5252287462732622,0.3891395818401541
74,3.0,2.5,0.01,1.0,0.05,250.0,62500.0,0.5694024580799515,0.6361217803909255,0.41127273068704845
75,3.0,2.5,0.01,1.0,0.05,400.0,160000.0,0.5694024580799515,0.6370378242040694,0.40951234552623617
76,3.0,2.5,0.01,2.0,0.0,250.0,62500.0,0.7287717482796521,0.5592978062363956,0.5700279163366336
77,3.0,2.5,0.01,2.0,0.0,400.0,160000.0,0.7287717482796521,0.5596482296454347,0.5656506618984808
78,3.0,2.5,0.01,2.0,0.05,250.0,62500.0,0.9565245320533451,0.7643571168740932,0.6310409787187808
79,3.0,2.5,0.01,2.0,0.05,400.0,160000.0,0.9565245320533451,0.7663705021073217,0.6272781270117112
80,3.0,2.5,0.01,5.0,0.0,250.0,62500.0,0.5320786226746923,0.6676159012685929,0.9472224733503889
81,3.0,2.5,0.01,5.0,0.0,400.0,160000.0,0.5320786226746923,0.6536611621073721,0.9362537038848219
82,3.0,2.5,0.01,5.0,0.05,250.0,62500.0,1.1635713641867849,1.0965735000072618,1.2155648157175643
83,3.0,2.5,0.01,5.0,0.05,400.0,160000.0,1.1635713641867849,1.0921225638598786,1.1953169992892076
84,3.0,2.5,0.07,1.0,0.0,250.0,62500.0,0.507904644670695,0.543587080956265,0.4827746590690132
85,3.0,2.5,0.07,1.0,0.0,400.0,160000.0,0.507904644670695,0.5416636184904718,0.481320774234389
86,3.0,2.5,0.07,1.0,0.05,250.0,62500.0,0.6270358062146224,0.6464835691744181,0.5057212979612572
87,3.0,2.5,0.07,1.0,0.05,400.0,160000.0,0.6270358062146224,0.6487073275270918,0.505660359688761
88,3.0,2.5,0.07,2.0,0.0,250.0,62500.0,0.7278807455769614,0.5791968149707738,0.6361894011412993
89,3.0,2.5,0.07,2.0,0.0,400.0,160000.0,0.7278807455769614,0.5741346705457234,0.6332991157280936
90,3.0,2.5,0.07,2.0,0.05,250.0,62500.0,0.9429583622005269,0.7709321427162467,0.7059865454542437
91,3.0,2.5,0.07,2.0,0.05,400.0,160000.0,0.9429583622005269,0.7753788778653927,0.7006909275235612
92,3.0,2.5,0.07,5.0,0.0,250.0,62500.0,0.5514217089885443,0.6773314838277537,0.9943585392491843
93,3.0,2.5,0.07,5.0,0.0,400.0,160000.0,0.5514217089885443,0.6688772526829369,0.9793055058249636
94,3.0,2.5,0.07,5.0,0.05,250.0,62500.0,1.1662397192052312,1.1028840595517644,1.2661953860115225
95,3.0,2.5,0.07,5.0,0.05,400.0,160000.0,1.1662397192052312,1.0965133830282026,1.2579174899226866
